Index,Label
1,0
2,1
3,0
4,0
5,1
6,0
7,1
8,0
9,0
10,1
11,0
12,0
13,1
14,0
15,0
16,0
17,0
18,1
19,0
20,1
21,1
22,0
23,1
24,0
25,0
26,1
27,1
28,1
29,0
30,0
31,0
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,1
40,1
41,1
42,1
43,1
44,0
45,1
46,0
47,1
48,1
49,0
50,0
51,1
52,0
53,0
54,1
55,0
56,0
57,0
58,1
59,0
60,0
61,0
62,1
63,1
64,1
65,1
66,0
67,0
68,1
69,0
70,0
71,0
72,0
73,1
74,0
75,0
76,1
77,0
78,0
79,0
80,0
81,0
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,0
90,1
91,0
92,1
93,0
94,1
95,1
96,0
97,0
98,0
99,1
100,1
101,1
102,0
103,0
104,0
105,0
106,1
107,1
108,0
109,0
110,1
111,0
112,0
113,1
114,0
115,1
116,1
117,0
118,0
119,0
120,1
121,0
122,1
123,1
124,0
125,0
126,1
127,1
128,0
129,0
130,1
131,1
132,0
133,1
134,0
135,0
136,1
137,0
138,1
139,0
140,1
141,0
142,0
143,1
144,0
145,0
146,1
147,1
148,0
149,0
150,0
151,1
152,0
153,0
154,0
155,0
156,1
157,1
158,0
159,1
160,0
161,1
162,0
163,1
164,1
165,1
166,1
167,0
168,1
169,1
170,0
171,1
172,1
173,1
174,0
175,1
176,0
177,0
178,1
179,0
180,0
181,1
182,1
183,1
184,1
185,0
186,0
187,0
188,0
189,1
190,0
191,1
192,0
193,1
194,1
195,0
196,0
197,1
198,0
199,1
200,1
201,0
202,0
203,1
204,1
205,0
206,0
207,0
208,1
209,0
210,0
211,0
212,0
213,0
214,0
215,1
216,0
217,0
218,0
219,1
220,0
221,0
222,0
223,1
224,0
225,0
226,0
227,0
228,1
229,1
230,0
231,0
232,0
233,1
234,1
235,0
236,0
237,0
238,0
239,0
240,1
241,0
242,1
243,0
244,0
245,1
246,0
247,1
248,0
249,0
250,0
251,0
252,0
253,0
254,1
255,0
256,0
257,0
258,0
259,1
260,1
261,1
262,0
263,0
264,0
265,1
266,1
267,0
268,0
269,1
270,0
271,1
272,0
273,1
274,1
275,1
276,1
277,0
278,0
279,0
280,1
281,0
282,0
283,1
284,0
285,0
286,1
287,1
288,0
289,0
290,0
291,1
292,0
293,0
294,0
295,1
296,0
297,1
298,0
299,1
300,0
301,1
302,1
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,1
311,1
312,1
313,1
314,0
315,0
316,0
317,0
318,0
319,1
320,1
321,0
322,0
323,0
324,0
325,1
326,0
327,1
328,1
329,0
330,0
331,0
332,1
333,0
334,0
335,0
336,0
337,1
338,0
339,0
340,0
341,1
342,0
343,0
344,0
345,0
346,0
347,1
348,0
349,0
350,0
351,1
352,1
353,0
354,1
355,0
356,0
357,1
358,0
359,1
360,0
361,0
362,0
363,0
364,1
365,1
366,0
367,1
368,1
369,0
370,0
371,0
372,1
373,0
374,0
375,0
376,0
377,1
378,1
379,0
380,1
381,0
382,0
383,0
384,1
385,0
386,0
387,0
388,1
389,1
390,0
391,1
392,0
393,1
394,1
395,1
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,1
404,1
405,1
406,0
407,0
408,1
409,0
410,0
411,1
412,1
413,0
414,0
415,1
416,0
417,0
418,0
419,1
