Index,Label
0,0
1,1
2,0
3,0
4,1
5,0
6,1
7,0
8,0
9,1
10,0
11,0
12,1
13,0
14,0
15,0
16,0
17,1
18,0
19,1
20,1
21,0
22,1
23,0
24,0
25,1
26,1
27,1
28,0
29,0
30,0
31,1
32,0
33,0
34,0
35,0
36,0
37,0
38,1
39,1
40,1
41,1
42,1
43,0
44,1
45,0
46,1
47,1
48,0
49,0
50,1
51,0
52,0
53,1
54,0
55,0
56,0
57,1
58,0
59,0
60,0
61,1
62,1
63,1
64,1
65,0
66,0
67,1
68,0
69,0
70,0
71,0
72,1
73,0
74,0
75,1
76,0
77,0
78,0
79,0
80,0
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,0
89,1
90,0
91,1
92,0
93,1
94,1
95,0
96,0
97,0
98,1
99,1
100,1
101,0
102,0
103,0
104,0
105,1
106,1
107,0
108,0
109,1
110,0
111,0
112,1
113,0
114,1
115,1
116,0
117,0
118,0
119,1
120,0
121,1
122,1
123,0
124,0
125,1
126,1
127,0
128,0
129,1
130,1
131,0
132,1
133,0
134,0
135,1
136,0
137,1
138,0
139,1
140,0
141,0
142,1
143,0
144,0
145,1
146,1
147,0
148,0
149,0
150,1
151,0
152,0
153,0
154,0
155,1
156,1
157,0
158,1
159,0
160,1
161,0
162,1
163,1
164,1
165,1
166,0
167,1
168,1
169,0
170,1
171,1
172,1
173,0
174,1
175,0
176,0
177,1
178,0
179,0
180,1
181,1
182,1
183,1
184,0
185,0
186,0
187,0
188,1
189,0
190,1
191,0
192,1
193,1
194,0
195,0
196,1
197,0
198,1
199,1
200,0
201,0
202,1
203,1
204,0
205,0
206,0
207,1
208,0
209,0
210,0
211,0
212,0
213,0
214,1
215,0
216,0
217,0
218,1
219,0
220,0
221,0
222,1
223,0
224,0
225,0
226,0
227,1
228,1
229,0
230,0
231,0
232,1
233,1
234,0
235,0
236,0
237,0
238,0
239,1
240,0
241,1
242,0
243,0
244,1
245,0
246,1
247,0
248,0
249,0
250,0
251,0
252,0
253,1
254,0
255,0
256,0
257,0
258,1
259,1
260,1
261,0
262,0
263,0
264,1
265,1
266,0
267,0
268,1
269,0
270,1
271,0
272,1
273,1
274,1
275,1
276,0
277,0
278,0
279,1
280,0
281,0
282,1
283,0
284,0
285,1
286,1
287,0
288,0
289,0
290,1
291,0
292,0
293,0
294,1
295,0
296,1
297,0
298,1
299,0
300,1
301,1
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,1
310,1
311,1
312,1
313,0
314,0
315,0
316,0
317,0
318,1
319,1
320,0
321,0
322,0
323,0
324,1
325,0
326,1
327,1
328,0
329,0
330,0
331,1
332,0
333,0
334,0
335,0
336,1
337,0
338,0
339,0
340,1
341,0
342,0
343,0
344,0
345,0
346,1
347,0
348,0
349,0
350,1
351,1
352,0
353,1
354,0
355,0
356,1
357,0
358,1
359,0
360,0
361,0
362,0
363,1
364,1
365,0
366,1
367,1
368,0
369,0
370,0
371,1
372,0
373,0
374,0
375,0
376,1
377,1
378,0
379,1
380,0
381,0
382,0
383,1
384,0
385,0
386,0
387,1
388,1
389,0
390,1
391,0
392,1
393,1
394,1
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,1
403,1
404,1
405,0
406,0
407,1
408,0
409,0
410,1
411,1
412,0
413,0
414,1
415,0
416,0
417,0
418,1
419,1
420,0
421,1
422,1
423,0
424,0
425,0
426,1
427,0
428,1
429,0
430,1
431,1
432,1
433,1
434,1
435,1
436,0
437,0
438,1
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,1
447,0
448,0
449,1
450,0
451,0
452,0
453,0
454,0
455,0
456,1
457,0
458,1
459,0
460,1
461,1
462,0
463,1
464,0
465,1
466,0
467,1
468,0
469,0
470,0
471,0
472,1
473,1
474,0
475,0
476,0
477,1
478,0
479,0
480,1
481,1
482,1
483,1
484,0
485,1
486,1
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,1
495,1
496,0
497,0
498,1
499,0
500,0
501,0
502,0
503,0
504,1
505,0
506,0
507,0
508,0
509,1
510,1
511,0
512,1
513,0
514,0
515,1
516,1
517,1
518,0
519,0
520,0
521,1
522,0
523,0
524,0
525,1
526,0
527,0
528,0
529,0
530,1
531,1
532,1
533,1
534,0
535,1
536,1
537,1
538,1
539,1
540,0
541,1
542,0
543,0
544,0
545,0
546,0
547,1
548,0
549,0
550,1
551,0
552,0
553,0
554,0
555,0
556,1
557,0
558,1
559,1
560,0
561,0
562,1
563,0
564,1
565,0
566,0
567,0
568,0
569,1
570,1
571,1
572,0
573,0
574,0
575,1
576,0
577,1
578,1
579,0
580,0
581,0
582,0
583,1
584,1
585,0
586,1
587,0
588,0
589,1
590,1
591,0
592,1
593,1
594,0
595,0
596,0
597,1
598,1
599,0
600,0
601,0
602,1
603,1
604,1
605,1
606,0
607,1
608,1
609,0
610,1
611,0
612,0
613,1
614,1
615,1
616,0
617,1
618,0
619,0
620,0
621,1
622,1
623,0
624,0
625,1
626,1
627,1
628,1
629,1
630,0
631,1
632,1
633,1
634,0
635,0
636,1
637,0
638,0
639,1
640,0
641,1
642,0
643,0
644,1
645,0
646,0
647,0
648,0
649,1
650,1
651,1
652,0
653,0
654,1
655,1
656,0
657,0
658,1
659,1
660,0
661,1
662,0
663,1
664,0
665,1
666,1
667,0
668,0
669,0
670,1
671,1
672,0
673,1
674,1
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,1
690,0
691,1
692,0
693,0
694,1
695,0
696,0
697,1
698,1
699,1
700,0
701,1
702,0
703,0
704,0
705,1
706,0
707,1
708,1
709,0
710,0
711,0
712,1
713,1
714,0
715,1
716,0
717,0
718,1
719,1
720,0
721,0
722,0
723,1
724,0
725,1
726,0
727,0
728,0
729,1
730,0
731,0
732,1
733,0
734,1
735,1
736,0
737,1
738,0
739,0
740,0
741,1
742,1
743,0
744,0
745,1
746,0
747,0
748,1
749,0
750,1
751,1
752,1
753,1
754,1
755,1
756,1
757,1
758,0
759,0
760,0
761,1
762,0
763,1
764,0
765,0
766,0
767,1
768,0
769,1
770,0
771,0
772,1
773,1
774,1
775,1
776,1
777,1
778,1
779,0
780,0
781,0
782,0
783,0
